"date_time","value"
"08/09/2018 21:30:00","17.39"
"08/09/2018 21:00:00","20.29"
"08/09/2018 20:30:00","20.18"
"08/09/2018 20:00:00","21.64"
"08/09/2018 19:30:00","21.3"
"08/09/2018 19:00:00","16.94"
"08/09/2018 18:30:00","17.13"
"08/09/2018 18:00:00","20.53"
"08/09/2018 17:30:00","16.15"
"08/09/2018 17:00:00","17.3"
"08/09/2018 16:30:00","15.51"
"08/09/2018 16:00:00","15.64"
"08/09/2018 15:30:00","15.85"
"08/09/2018 15:00:00","15.8"
"08/09/2018 14:30:00","17.63"
"08/09/2018 14:00:00","15.74"
"08/09/2018 13:30:00","15.23"
"08/09/2018 13:00:00","16.83"
"08/09/2018 12:30:00","16.07"
"08/09/2018 12:00:00","16.25"
"08/09/2018 11:30:00","18.54"
"08/09/2018 11:00:00","24.7"
"08/09/2018 10:30:00","22.98"
"08/09/2018 10:00:00","27.25"
"08/09/2018 09:30:00","29.25"
"08/09/2018 09:00:00","27.4"
"08/09/2018 08:30:00","26.52"
"08/09/2018 08:00:00","28.41"
"08/09/2018 07:30:00","26.5"
"08/09/2018 07:00:00","27.67"
"08/09/2018 06:30:00","26.92"
"08/09/2018 06:00:00","28.14"
"08/09/2018 05:30:00","27.06"
"08/09/2018 05:00:00","36.07"
"08/09/2018 04:30:00","38.57"
"08/09/2018 04:00:00","31.98"
"08/09/2018 03:30:00","37.31"
"08/09/2018 03:00:00","35.74"
"08/09/2018 02:30:00","24.14"
"08/09/2018 02:00:00","24.04"
"08/09/2018 01:30:00","26.98"
"08/09/2018 01:00:00","26.03"
"08/09/2018 00:30:00","40.15"
"08/09/2018 00:00:00","28.63"
"07/09/2018 23:30:00","25.33"
"07/09/2018 23:00:00","23.5"
"07/09/2018 22:30:00","22.3"
"07/09/2018 22:00:00","21.35"
"07/09/2018 21:30:00","21.99"
"07/09/2018 21:00:00","26.29"
"07/09/2018 20:30:00","25.32"
"07/09/2018 20:00:00","25.67"
"07/09/2018 19:30:00","24.32"
"07/09/2018 19:00:00","22.39"
"07/09/2018 18:30:00","22.97"
"07/09/2018 18:00:00","21"
"07/09/2018 17:30:00","21.03"
"07/09/2018 17:00:00","23.97"
"07/09/2018 16:30:00","23.73"
"07/09/2018 16:00:00","25.74"
"07/09/2018 15:30:00","25.42"
"07/09/2018 15:00:00","35.4"
"07/09/2018 14:30:00","32.04"
"07/09/2018 14:00:00","30.12"
"07/09/2018 13:30:00","29.02"
"07/09/2018 13:00:00","29.78"
"07/09/2018 12:30:00","26.63"
"07/09/2018 12:00:00","29"
"07/09/2018 11:30:00","33.42"
"07/09/2018 11:00:00","30.14"
"07/09/2018 10:30:00","37.01"
"07/09/2018 10:00:00","43.84"
"07/09/2018 09:30:00","37.98"
"07/09/2018 09:00:00","36.98"
"07/09/2018 08:30:00","37.06"
"07/09/2018 08:00:00","37.5"
"07/09/2018 07:30:00","35.96"
"07/09/2018 07:00:00","36.36"
"07/09/2018 06:30:00","32.23"
"07/09/2018 06:00:00","31.03"
"07/09/2018 05:30:00","28.41"
"07/09/2018 05:00:00","33.58"
"07/09/2018 04:30:00","30.08"
"07/09/2018 04:00:00","29.92"
"07/09/2018 03:30:00","33.4"
"07/09/2018 03:00:00","33.96"
"07/09/2018 02:30:00","24.82"
"07/09/2018 02:00:00","25.08"
"07/09/2018 01:30:00","20.66"
"07/09/2018 01:00:00","28.2"
"07/09/2018 00:30:00","27.04"
"07/09/2018 00:00:00","32.26"
"06/09/2018 23:30:00","35.17"
"06/09/2018 23:00:00","39.72"
"06/09/2018 22:30:00","53.47"
"06/09/2018 22:00:00","44"
"06/09/2018 21:30:00","34.56"
"06/09/2018 21:00:00","33.54"
"06/09/2018 20:30:00","41.46"
"06/09/2018 20:00:00","40.48"
"06/09/2018 19:30:00","29.1"
"06/09/2018 19:00:00","32.95"
"06/09/2018 18:30:00","44.31"
"06/09/2018 18:00:00","22.02"
"06/09/2018 17:30:00","23.25"
"06/09/2018 17:00:00","28.05"
"06/09/2018 16:30:00","28.26"
"06/09/2018 16:00:00","33.56"
"06/09/2018 15:30:00","28.11"
"06/09/2018 15:00:00","38.62"
"06/09/2018 14:30:00","36.22"
"06/09/2018 14:00:00","33.43"
"06/09/2018 13:30:00","39.13"
"06/09/2018 13:00:00","36.19"
"06/09/2018 12:30:00","35.55"
"06/09/2018 12:00:00","36.41"
"06/09/2018 11:30:00","34.32"
"06/09/2018 11:00:00","35.43"
"06/09/2018 10:30:00","40.25"
"06/09/2018 10:00:00","41.43"
"06/09/2018 09:30:00","37.72"
"06/09/2018 09:00:00","45.03"
"06/09/2018 08:30:00","49.32"
"06/09/2018 08:00:00","39.44"
"06/09/2018 07:30:00","34.22"
"06/09/2018 07:00:00","33.26"
"06/09/2018 06:30:00","28.05"
"06/09/2018 06:00:00","28.95"
"06/09/2018 05:30:00","30.3"
"06/09/2018 05:00:00","33.8"
"06/09/2018 04:30:00","35.03"
"06/09/2018 04:00:00","40.14"
"06/09/2018 03:30:00","32.99"
"06/09/2018 03:00:00","33.51"
"06/09/2018 02:30:00","31.33"
"06/09/2018 02:00:00","32.64"
"06/09/2018 01:30:00","31.35"
"06/09/2018 01:00:00","33.48"
"06/09/2018 00:30:00","32.28"
"06/09/2018 00:00:00","32.86"
"05/09/2018 23:30:00","24.07"
"05/09/2018 23:00:00","28.03"
"05/09/2018 22:30:00","25.3"
"05/09/2018 22:00:00","28.46"
"05/09/2018 21:30:00","30.73"
"05/09/2018 21:00:00","29.66"
"05/09/2018 20:30:00","29.58"
"05/09/2018 20:00:00","36.94"
"05/09/2018 19:30:00","24.18"
"05/09/2018 19:00:00","24.74"
"05/09/2018 18:30:00","24.96"
"05/09/2018 18:00:00","26.2"
"05/09/2018 17:30:00","27.61"
"05/09/2018 17:00:00","35.5"
"05/09/2018 16:30:00","38.23"
"05/09/2018 16:00:00","46.17"
"05/09/2018 15:30:00","38.03"
"05/09/2018 15:00:00","39.52"
"05/09/2018 14:30:00","40.65"
"05/09/2018 14:00:00","38.82"
"05/09/2018 13:30:00","37.02"
"05/09/2018 13:00:00","40.67"
"05/09/2018 12:30:00","37.81"
"05/09/2018 12:00:00","38.83"
"05/09/2018 11:30:00","41.34"
"05/09/2018 11:00:00","35.88"
"05/09/2018 10:30:00","41.36"
"05/09/2018 10:00:00","50.05"
"05/09/2018 09:30:00","42.77"
"05/09/2018 09:00:00","41.32"
"05/09/2018 08:30:00","42.43"
"05/09/2018 08:00:00","41.72"
"05/09/2018 07:30:00","33.92"
"05/09/2018 07:00:00","34.62"
"05/09/2018 06:30:00","28.48"
"05/09/2018 06:00:00","28.36"
